id,name,cidade,RA_nome,year,month,day,grupo,lat,lon
GoldenSquareShopping2025,Golden Square Shopping 2025,São Bernardo do Campo,RM de São Paulo,2025,1,18,RMSP exc. capital,-23.683521,-46.557344
GoldenSquareShopping2026,Golden Square Shopping 2026,São Bernardo do Campo,RM de São Paulo,2026,7,11,RMSP exc. capital,-23.683521,-46.557344
GuaraGarage2026,Guará Garage 2026,Guaratinguetá,S. J. dos Campos,2026,2,21,Interior/Litoral,-22.811794,-45.188275
GuaraOpen2024,Guará Open 2024,Guaratinguetá,S. J. dos Campos,2024,4,21,Interior/Litoral,-22.818739,-45.186337
HouseIsQuietCidadeLider2025,House Is Quiet Cidade Líder 2025,São Paulo,RM de São Paulo,2025,1,25,Capital,-23.555922,-46.478219
IIAquaticoAclimacaoOpen2025,II Aquático Aclimação Open 2025,São Paulo,RM de São Paulo,2025,11,1,Capital,-23.584459,-46.629515
IICamposdoJordaoOpen2025,II Campos do Jordão Open 2025,Campos do Jordão,S. J. dos Campos,2025,10,4,Interior/Litoral,-22.742788,-45.592667
IICubeBookCampinas2024,II CubeBook Campinas 2024,Campinas,Campinas,2024,12,8,Interior/Litoral,-22.900847,-47.056835
IIGoldenSquareShopping2025,II Golden Square Shopping 2025,São Bernardo do Campo,RM de São Paulo,2025,10,25,RMSP exc. capital,-23.683521,-46.557344
INUMPSaoPaulo2026,INUMP São Paulo 2026,Ferraz de Vasconcelos,RM de São Paulo,2026,4,25,RMSP exc. capital,-23.552706,-46.380387
IReidoCuboCubatao2026,I Rei do Cubo Cubatão 2026,Cubatão,Santos,2026,8,22,Interior/Litoral,-23.893133,-46.429979
ISaoPauloCube2023, I São Paulo Cube 2023,São Paulo,RM de São Paulo,2023,11,11,Capital,-23.582874,-46.56128
ItapecericadaSerra2023,Itapecerica da Serra 2023,Itapecerica da Serra,RM de São Paulo,2023,10,28,RMSP exc. capital,-23.715566,-46.850193
Itapeva2026,Itapeva 2026,Itapeva,Itapeva,2026,1,24,Interior/Litoral,-23.986014,-48.883028
LuminousSolOpen2026,Luminous Sol Open 2026,Itapeva,Itapeva,2026,7,25,Interior/Litoral,-23.998611,-48.881089
MaristaGloriaOpen2025,Marista Glória Open 2025,São Paulo,RM de São Paulo,2025,5,10,Capital,-23.561009,-46.622753
MaristaGloriaOpen2026,Marista Glória Open 2026,São Paulo,RM de São Paulo,2026,5,9,Capital,-23.561009,-46.622753
MegaGeekFestival2026,Mega Geek Festival 2026,São Paulo,RM de São Paulo,2026,3,22,Capital,-23.575328,-46.621408
MorumbiOpen2025,Morumbi Open 2025,São Paulo,RM de São Paulo,2025,3,15,Capital,-23.628316,-46.742169
MouraLacerdaOpen2026,Moura Lacerda Open 2026,Ribeirão Preto,Ribeirão Preto,2026,2,28,Interior/Litoral,-21.166232,-47.764027
NihonClockiinOpen2023,Nihon Clockiin Open 2023,São Paulo,RM de São Paulo,2023,3,25,Capital,-23.583323,-46.639969
OficinaOpen2023,Oficina Open 2023,Campinas,Campinas,2023,5,6,Interior/Litoral,-22.900733,-47.029801
OpenCubata2025,Open Cubata 2025,Cubatão,Santos,2025,9,21,Interior/Litoral,-23.911984,-46.462721
PIBItaimOpen2023,PIB Itaim Open 2023,São Paulo,RM de São Paulo,2023,10,21,Capital,-23.49505,-46.400459
PIBItaimOpen2024,PIB Itaim Open 2024,São Paulo,RM de São Paulo,2024,7,13,Capital,-23.49505,-46.400459
PresidentePrudenteOpen2025,Presidente Prudente Open 2025,Presidente Prudente,Pres. Prudente,2025,8,23,Interior/Litoral,-22.12144,-51.406655
PresidentePrudenteOpen2026,Presidente Prudente Open 2026,Presidente Prudente,Pres. Prudente,2026,9,5,Interior/Litoral,-22.120788,-51.407309
RibeiraoaoCubo2026,Ribeirão ao Cubo 2026,Ribeirão Preto,Ribeirão Preto,2026,9,19,Interior/Litoral,-21.215083,-47.81916
SAJAguasdaPrata2023,SAJ Águas da Prata 2023,Aguas da Prata,Campinas,2023,5,27,Interior/Litoral,-21.945944,-46.722569
SAJAguasdaPrata2024,SAJ Águas da Prata 2024,Aguas da Prata,Campinas,2024,5,25,Interior/Litoral,-21.945909,-46.722517
SAJAguasdaPrata2025,SAJ Águas da Prata 2025,Águas da Prata,Campinas,2025,6,7,Interior/Litoral,-21.945909,-46.722517
SAJAguasdaPrata2026,SAJ Águas da Prata 2026,Águas da Prata,Campinas,2026,6,6,Interior/Litoral,-21.945919,-46.722476
SantosMagicoOpen2026,Santos Mágico Open 2026,Santos,Santos,2026,9,6,Interior/Litoral,-23.986685,-46.30378
SchoolmarkOpen2024,Schoolmark Open 2024,São Bernardo do Campo,RM de São Paulo,2024,3,2,RMSP exc. capital,-23.693701,-46.546313
SESICubatao2025,SESI Cubatão 2025,Cubatão,Santos,2025,11,8,Interior/Litoral,-23.922854,-46.416193
SESICubatao2026,SESI Cubatão 2026,Cubatão,Santos,2026,6,13,Interior/Litoral,-23.922854,-46.416193
SESISantos2023,SESI Santos 2023,Santos,Santos,2023,5,13,Interior/Litoral,-23.936676,-46.363266
SESISantos2024,SESI Santos 2024,Santos,Santos,2024,4,6,Interior/Litoral,-23.936676,-46.363266
SESISantos2025,SESI Santos 2025,Santos,Santos,2025,4,5,Interior/Litoral,-23.936676,-46.363266
ShoppingParquedaCidade2026,Shopping Parque da Cidade 2026,São Paulo,RM de São Paulo,2026,4,11,Capital,-23.623698,-46.703367
SidesCubata2025,Sides Cubata 2025,Cubatão,Santos,2025,3,29,Interior/Litoral,-23.911984,-46.462721
SJCMazzaOpen2024,SJC Mazza Open 2024,São José dos Campos,S. J. dos Campos,2024,9,28,Interior/Litoral,-23.201808,-45.857169
SPACOpen2024,SPAC Open 2024,São Paulo,RM de São Paulo,2024,10,27,Capital,-23.678947,-46.714178
TaboaoBigsBlinds2024,Taboão Bigs & Blinds 2024,Taboão da Serra,RM de São Paulo,2024,10,13,RMSP exc. capital,-23.619999,-46.768534
TaboaodaSerraOpen2024,Taboão da Serra Open 2024,Taboão da Serra,RM de São Paulo,2024,8,24,RMSP exc. capital,-23.619999,-46.768534
UNESPRioPretoOpen2025,UNESP Rio Preto Open 2025,São José do Rio Preto,S. J. Rio Preto,2025,12,13,Interior/Litoral,-20.784703,-49.360478
UNESPRioPretoOpen2026,UNESP Rio Preto Open 2026,São José do Rio Preto,S. J. Rio Preto,2026,10,31,Interior/Litoral,-20.784939,-49.359523
UNICAMPCube2025,UNICAMP Cube 2025,Campinas,Campinas,2025,8,16,Interior/Litoral,-22.816235,-47.067081
UNIVROpen2023,UNIVR Open 2023,Registro,Registro,2023,1,21,Interior/Litoral,-24.522968,-47.843231
VilaAnglo2023,Vila Anglo 2023,São Paulo,RM de São Paulo,2023,8,19,Capital,-23.535842,-46.694342
ZoioffCampinas2023,Zoioff Campinas 2023,Campinas,Campinas,2023,8,5,Interior/Litoral,-22.899199,-47.080183
ZoioffCampinas2025,Zoioff Campinas 2025,Campinas,Campinas,2025,4,26,Interior/Litoral,-22.899199,-47.080183
ZoioffCampinas2026,Zoioff Campinas 2026,Campinas,Campinas,2026,3,7,Interior/Litoral,-22.821232,-47.066247
