competition_id	event_id	n_pessoas
GuaraOpen2024	clock	9
GuaraOpen2024	pyram	12
HouseIsQuietCidadeLider2025	333bf	6
HouseIsQuietCidadeLider2025	333mbf	4
HouseIsQuietCidadeLider2025	444bf	6
HouseIsQuietCidadeLider2025	555bf	6
IIAquaticoAclimacaoOpen2025	222	41
IIAquaticoAclimacaoOpen2025	333	57
IIAquaticoAclimacaoOpen2025	444	33
IIAquaticoAclimacaoOpen2025	555	21
IIAquaticoAclimacaoOpen2025	666	17
IIAquaticoAclimacaoOpen2025	777	15
IIAquaticoAclimacaoOpen2025	minx	23
IICamposdoJordaoOpen2025	222	28
IICamposdoJordaoOpen2025	333	35
IICamposdoJordaoOpen2025	444	22
IICamposdoJordaoOpen2025	clock	19
IICamposdoJordaoOpen2025	minx	20
IICamposdoJordaoOpen2025	pyram	26
IICamposdoJordaoOpen2025	skewb	16
IICubeBookCampinas2024	222	33
IICubeBookCampinas2024	333	44
IICubeBookCampinas2024	333bf	6
IICubeBookCampinas2024	444	17
IIGoldenSquareShopping2025	333	64
IIGoldenSquareShopping2025	444	34
IIGoldenSquareShopping2025	clock	32
IIGoldenSquareShopping2025	skewb	27
IIGoldenSquareShopping2025	sq1	14
INUMPSaoPaulo2026	222	31
INUMPSaoPaulo2026	333	36
INUMPSaoPaulo2026	333bf	10
INUMPSaoPaulo2026	333oh	25
INUMPSaoPaulo2026	444	24
INUMPSaoPaulo2026	clock	21
ISaoPauloCube2023	222	31
ISaoPauloCube2023	333	41
ISaoPauloCube2023	333bf	5
ISaoPauloCube2023	pyram	25
ItapecericadaSerra2023	222	27
ItapecericadaSerra2023	333	43
ItapecericadaSerra2023	pyram	20
Itapeva2026	222	22
Itapeva2026	333	32
Itapeva2026	333bf	9
Itapeva2026	333mbf	8
Itapeva2026	333oh	16
Itapeva2026	444	13
Itapeva2026	444bf	7
Itapeva2026	555	12
Itapeva2026	555bf	7
Itapeva2026	666	11
Itapeva2026	777	12
Itapeva2026	clock	12
Itapeva2026	minx	12
Itapeva2026	pyram	17
Itapeva2026	sq1	14
MaristaGloriaOpen2025	222	40
MaristaGloriaOpen2025	333	62
MaristaGloriaOpen2025	777	14
MaristaGloriaOpen2026	222	28
MaristaGloriaOpen2026	333	44
MaristaGloriaOpen2026	666	18
MaristaGloriaOpen2026	777	18
MegaGeekFestival2026	333bf	13
MegaGeekFestival2026	777	19
MegaGeekFestival2026	clock	29
MegaGeekFestival2026	minx	27
MegaGeekFestival2026	skewb	25
MegaGeekFestival2026	sq1	25
MorumbiOpen2025	222	32
MorumbiOpen2025	333	39
MorumbiOpen2025	clock	19
MorumbiOpen2025	pyram	22
MorumbiOpen2025	skewb	20
MouraLacerdaOpen2026	222	26
MouraLacerdaOpen2026	333	30
MouraLacerdaOpen2026	333bf	6
MouraLacerdaOpen2026	333oh	18
MouraLacerdaOpen2026	444	20
MouraLacerdaOpen2026	555	16
MouraLacerdaOpen2026	666	11
MouraLacerdaOpen2026	777	11
MouraLacerdaOpen2026	clock	13
MouraLacerdaOpen2026	minx	12
MouraLacerdaOpen2026	pyram	20
MouraLacerdaOpen2026	skewb	13
MouraLacerdaOpen2026	sq1	10
NihonClockiinOpen2023	clock	27
OficinaOpen2023	222	65
OficinaOpen2023	333	79
OficinaOpen2023	333bf	16
OficinaOpen2023	333oh	54
OficinaOpen2023	444	45
OficinaOpen2023	666	22
OficinaOpen2023	777	17
OficinaOpen2023	clock	30
OficinaOpen2023	minx	28
OficinaOpen2023	pyram	48
OficinaOpen2023	skewb	36
OficinaOpen2023	sq1	31
OpenCubata2025	333	26
OpenCubata2025	333oh	18
OpenCubata2025	555	14
PIBItaimOpen2023	222	54
PIBItaimOpen2023	333	65
PIBItaimOpen2023	333bf	8
PIBItaimOpen2023	444	30
PIBItaimOpen2023	444bf	6
PIBItaimOpen2023	clock	23
PIBItaimOpen2023	pyram	40
PIBItaimOpen2024	222	51
PIBItaimOpen2024	333	61
PIBItaimOpen2024	333bf	10
PIBItaimOpen2024	clock	24
PIBItaimOpen2024	pyram	31
PIBItaimOpen2024	skewb	25
PresidentePrudenteOpen2025	222	24
PresidentePrudenteOpen2025	333	33
PresidentePrudenteOpen2025	333bf	5
PresidentePrudenteOpen2025	333oh	14
PresidentePrudenteOpen2025	444	15
PresidentePrudenteOpen2025	555	15
PresidentePrudenteOpen2025	666	9
PresidentePrudenteOpen2025	777	9
PresidentePrudenteOpen2025	minx	14
PresidentePrudenteOpen2025	pyram	16
PresidentePrudenteOpen2025	skewb	10
PresidentePrudenteOpen2025	sq1	7
SAJAguasdaPrata2023	222	32
SAJAguasdaPrata2023	333	34
SAJAguasdaPrata2023	333bf	14
SAJAguasdaPrata2023	333oh	26
SAJAguasdaPrata2023	444	26
SAJAguasdaPrata2023	555	21
SAJAguasdaPrata2023	555bf	5
SAJAguasdaPrata2023	clock	23
SAJAguasdaPrata2023	pyram	25
SAJAguasdaPrata2023	sq1	16
SAJAguasdaPrata2024	222	36
SAJAguasdaPrata2024	333	43
SAJAguasdaPrata2024	333bf	9
SAJAguasdaPrata2024	333oh	16
SAJAguasdaPrata2024	444	17
SAJAguasdaPrata2024	555	17
SAJAguasdaPrata2024	666	11
SAJAguasdaPrata2024	777	5
SAJAguasdaPrata2024	clock	17
SAJAguasdaPrata2024	pyram	23
SAJAguasdaPrata2024	sq1	13
SAJAguasdaPrata2025	222	26
SAJAguasdaPrata2025	333	29
SAJAguasdaPrata2025	333bf	6
SAJAguasdaPrata2025	333oh	16
SAJAguasdaPrata2025	444	15
SAJAguasdaPrata2025	555	13
SAJAguasdaPrata2025	666	10
SAJAguasdaPrata2025	777	8
SAJAguasdaPrata2025	clock	12
SAJAguasdaPrata2025	pyram	21
SAJAguasdaPrata2026	222	18
SAJAguasdaPrata2026	333	20
SAJAguasdaPrata2026	333bf	5
SAJAguasdaPrata2026	333oh	9
SAJAguasdaPrata2026	444	13
SAJAguasdaPrata2026	555	11
SAJAguasdaPrata2026	clock	11
SAJAguasdaPrata2026	minx	10
SAJAguasdaPrata2026	pyram	13
SAJAguasdaPrata2026	skewb	10
SESICubatao2025	222	25
SESICubatao2025	333	29
SESICubatao2025	clock	16
SESICubatao2025	minx	12
SESICubatao2026	333	22
SESICubatao2026	333bf	6
SESICubatao2026	333oh	16
SESICubatao2026	444bf	4
SESICubatao2026	clock	12
SESICubatao2026	minx	10
SESICubatao2026	pyram	15
SESICubatao2026	skewb	10
SESICubatao2026	sq1	10
SESISantos2023	333	30
SESISantos2023	333bf	5
SESISantos2023	clock	14
SESISantos2023	pyram	23
SESISantos2023	sq1	14
SESISantos2024	222	42
SESISantos2024	333	48
SESISantos2024	333bf	10
SESISantos2024	444	25
SESISantos2024	555	20
SESISantos2024	666	18
SESISantos2024	777	15
SESISantos2024	clock	22
SESISantos2025	222	23
SESISantos2025	333	25
SESISantos2025	333bf	7
SESISantos2025	444	8
SESISantos2025	clock	11
SESISantos2025	pyram	16
SESISantos2025	skewb	11
SESISantos2025	sq1	8
SJCMazzaOpen2024	222	40
SJCMazzaOpen2024	333	50
SJCMazzaOpen2024	333bf	3
SJCMazzaOpen2024	555	15
SJCMazzaOpen2024	clock	15
SJCMazzaOpen2024	pyram	32
SPACOpen2024	222	44
SPACOpen2024	333	49
SPACOpen2024	333oh	31
SPACOpen2024	clock	25
SPACOpen2024	pyram	39
SPACOpen2024	skewb	26
SchoolmarkOpen2024	222	44
SchoolmarkOpen2024	333	57
SchoolmarkOpen2024	333bf	13
SchoolmarkOpen2024	333oh	35
SchoolmarkOpen2024	444	31
SchoolmarkOpen2024	444bf	9
SchoolmarkOpen2024	555	22
SchoolmarkOpen2024	clock	27
SchoolmarkOpen2024	minx	21
SchoolmarkOpen2024	pyram	35
SchoolmarkOpen2024	sq1	16
ShoppingParquedaCidade2026	222	40
ShoppingParquedaCidade2026	333	48
ShoppingParquedaCidade2026	444	33
ShoppingParquedaCidade2026	clock	25
ShoppingParquedaCidade2026	skewb	22
SidesCubata2025	clock	8
SidesCubata2025	minx	7
SidesCubata2025	skewb	7
SidesCubata2025	sq1	6
TaboaoBigsBlinds2024	333bf	11
TaboaoBigsBlinds2024	333mbf	8
TaboaoBigsBlinds2024	444bf	10
TaboaoBigsBlinds2024	555	16
TaboaoBigsBlinds2024	555bf	8
TaboaoBigsBlinds2024	666	17
TaboaoBigsBlinds2024	777	17
TaboaodaSerraOpen2024	333	36
TaboaodaSerraOpen2024	333bf	8
TaboaodaSerraOpen2024	333oh	27
TaboaodaSerraOpen2024	444	26
TaboaodaSerraOpen2024	555	20
TaboaodaSerraOpen2024	666	16
TaboaodaSerraOpen2024	777	14
TaboaodaSerraOpen2024	minx	19
TaboaodaSerraOpen2024	sq1	20
UNESPRioPretoOpen2025	222	28
UNESPRioPretoOpen2025	333	44
UNESPRioPretoOpen2025	333bf	8
UNESPRioPretoOpen2025	333mbf	4
UNESPRioPretoOpen2025	333oh	17
UNESPRioPretoOpen2025	444	19
UNESPRioPretoOpen2025	444bf	3
UNESPRioPretoOpen2025	555	19
UNESPRioPretoOpen2025	666	10
UNESPRioPretoOpen2025	777	9
UNESPRioPretoOpen2025	clock	12
UNESPRioPretoOpen2025	minx	18
UNESPRioPretoOpen2025	pyram	27
UNESPRioPretoOpen2025	skewb	16
UNESPRioPretoOpen2025	sq1	13
UNICAMPCube2025	333	44
UNICAMPCube2025	333bf	16
UNICAMPCube2025	333oh	26
UNIVROpen2023	222	37
UNIVROpen2023	333	43
UNIVROpen2023	333bf	15
UNIVROpen2023	333fm	15
UNIVROpen2023	333mbf	9
UNIVROpen2023	444	34
UNIVROpen2023	444bf	7
UNIVROpen2023	555	29
UNIVROpen2023	555bf	7
UNIVROpen2023	clock	32
UNIVROpen2023	minx	29
UNIVROpen2023	pyram	35
UNIVROpen2023	sq1	27
VilaAnglo2023	222	54
VilaAnglo2023	333	66
VilaAnglo2023	333oh	40
ZoioffCampinas2023	333bf	12
ZoioffCampinas2023	333mbf	11
ZoioffCampinas2023	444bf	12
ZoioffCampinas2023	555bf	7
ZoioffCampinas2025	333bf	6
ZoioffCampinas2025	333mbf	5
ZoioffCampinas2025	444bf	5
ZoioffCampinas2025	555bf	5
ZoioffCampinas2026	333bf	13
ZoioffCampinas2026	333mbf	12
ZoioffCampinas2026	444bf	9
ZoioffCampinas2026	555bf	8
